student_efficacy,student_joy,student_broad_interest,student_epistemic_beliefs,student_instrumental_motivation,student_value_cooperation,student_enjoy_cooperation,student_environmental_awareness,parent_views_science,parent_enviro_concern,teacher_directed,teacher_inquiry_based,teacher_choice_support,teacher_perceived_feedback,teacher_adaptation_of_instruction,science_minutes_week,out_of_schools_study_hours,overall_science_ach,explain_scientifically,do_inquiry,interpret_data,teacher_extra_help,teacher_interest_learning,teacher_tells_performance,teacher_strengths,teacher_areas_improve,teacher_how_improve,students_investigation,teacher_explains_relevance,students_design,teacher_explains_application,students_draw_conclusions,students_argue,students_laboratory,students_explain_ideas,teacher_waits_quiet,teacher_noise_disorder,students_dont_listen,work_team,student_career,student_job,nervous,be_best,want_top_grades,ambitious,worry_grades,good_listener,ict_home,ict_interest,ict_competence,ict_autonomy,ict_out_sch,ict_out_leisure,disciplinary_climate
-0.5518,-0.8208,-0.5747,-1.3692,-1.2836,0.0333,-0.2882,-0.5294,NA,NA,0.2564,0.0656,0.8213,-0.5559,0.6524,225,20,557.265,568.11,618.298,559.611,1,1,1,3,1,1,3,3,3,3,3,3,3,1,4,3,4,3,3,3,2,3,2,2,2,3,NA,NA,NA,NA,NA,NA,0.7011
0.3155,-0.3928,-0.8476,-0.5013,0.3708,-0.5546,-0.0077,-0.8316,NA,NA,-0.0141,0.3243,-0.5837,0.1725,-0.3816,250,NA,559.945,612.045,622.211,605.712,3,2,3,2,2,2,3,2,2,3,3,3,2,2,4,3,3,3,2,2,2,4,4,3,2,3,NA,NA,NA,NA,NA,NA,0.8934
-1.0524,-0.8208,0.1042,-0.1933,0.3708,0.0333,-0.2882,-0.3864,NA,NA,-0.6102,-0.9551,-0.1164,-0.6241,-1.2428,225,5,487.037,489.914,448.686,472.831,2,2,2,2,1,1,4,3,4,3,3,4,3,3,4,3,4,3,2,2,2,3,3,3,3,3,NA,NA,NA,NA,NA,NA,0.9383
NA,0.5094,NA,-0.1933,NA,0.0333,-0.2882,-1.3998,NA,NA,NA,NA,NA,NA,NA,NA,15,421.814,371.096,409.552,366.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA
0.3298,-0.8208,-0.2865,-0.1933,-0.494,-1.039,1.164,-0.4218,NA,NA,-0.2123,-0.0649,-0.4527,-0.8636,-0.787,225,7,738.698,691.065,702.156,720.691,2,2,2,2,1,1,3,3,3,2,2,4,2,3,4,3,3,2,2,3,3,4,4,4,2,3,NA,NA,NA,NA,NA,NA,0.8934
1.2218,-0.8208,-0.8903,-0.1933,-0.0086,0.0333,-0.2882,0.6945,NA,NA,-0.0141,-0.5987,1.4475,0.5806,0.672,225,19,441.948,416.909,399.624,425.296,1,1,2,2,3,3,4,3,3,3,3,4,3,2,3,3,4,3,2,2,3,3,3,3,2,3,NA,NA,NA,NA,NA,NA,0.5952
-0.7419,0.1458,0.3721,-0.1933,-0.7778,0.0333,-0.2882,-1.1305,NA,NA,-0.8671,-0.4244,-0.5508,-0.5713,-0.3816,250,11,607.857,533.323,530.21,546.153,2,2,2,2,2,1,4,2,4,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,-0.3506
3.2775,1.3508,-0.3744,-2.7904,1.356,-0.3,-0.2882,-0.9347,NA,NA,1.1879,-3.3405,1.4475,1.0606,0.6374,315,15,316.507,361.564,388.158,402.967,1,1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,1,2,2,4,4,4,3,3,NA,NA,NA,NA,NA,NA,1.8837
3.2775,2.1635,1.3588,-0.9832,-0.5375,2.1017,0.9675,1.1397,NA,NA,0.9505,0.2087,0.6375,-1.1537,-1e-4,225,14,466.252,519.959,488.037,526.55,1,2,2,1,1,1,3,2,4,2,2,3,3,2,4,4,4,4,3,3,2,4,4,4,3,3,NA,NA,NA,NA,NA,NA,1.8837
0.2695,-0.1379,-0.2052,0.231,-0.2874,0.0333,-0.2882,0.1354,NA,NA,0.658,0.8032,0.2044,-1.5255,0.005,225,15,703.571,653.411,655.73,661.867,1,2,1,1,1,1,1,1,4,1,1,4,1,1,3,4,4,3,2,3,2,3,4,3,2,3,NA,NA,NA,NA,NA,NA,0.9828
2.3335,2.1635,0.7736,-0.1933,0.8384,-1.3972,-0.3352,0.2054,NA,NA,0.7282,-0.0706,0.5683,1.0606,0.687,225,30,620.944,650.659,621.019,634.125,1,1,3,3,3,3,3,4,2,3,3,4,3,1,4,3,4,2,NA,1,2,3,3,3,1,4,NA,NA,NA,NA,NA,NA,1.1892
3.2775,2.1635,NA,2.1552,-1.9301,0.3821,0.9455,1.0611,NA,NA,2.0781,0.0659,1.4475,2.4994,2.0469,225,14,565.097,543.12,569.97,528.666,1,1,4,4,4,4,4,1,4,1,3,4,3,1,3,3,3,2,4,4,3,4,4,3,2,4,NA,NA,NA,NA,NA,NA,0.0039
-0.9222,-0.576,-0.2052,-0.1933,-0.2152,0.0333,-0.9705,-0.2325,NA,NA,0.2564,0.6875,-0.1164,0.3995,-0.3369,225,9,527.552,476.634,503.455,516.944,2,2,3,2,2,2,3,2,2,1,2,2,3,2,4,3,3,3,2,3,3,3,3,3,4,3,NA,NA,NA,NA,NA,NA,0.8934
-0.0865,0.5094,0.1617,-0.1933,1.7359,0.0333,1.5899,0.4064,NA,NA,-0.2188,0.9691,-1.0074,0.4818,0.005,225,13,596.233,618.16,594.984,610.538,2,3,2,2,2,2,1,2,4,1,1,4,1,1,3,3,3,3,1,1,2,2,3,3,1,3,NA,NA,NA,NA,NA,NA,0.2884
-2.0617,0.5094,-0.9308,-0.1045,0.0125,0.0333,0.9455,-1.5022,NA,NA,-0.8464,-0.158,0.5731,-0.413,-0.3816,90,6,375.846,427.69,401.536,458.321,1,2,1,2,2,2,3,2,3,4,3,4,4,4,1,1,3,3,2,3,4,4,4,3,3,4,NA,NA,NA,NA,NA,NA,-1.11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412.119,470.635,481.621,466.247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA
0.0908,-0.3112,-0.2755,0.2997,-0.3599,0.7516,2.2879,-0.946,NA,NA,-0.3711,-2.2684,-0.7147,-0.332,-1.9656,45,0,462.72,447.193,484.784,489.513,3,4,3,1,1,3,4,4,4,3,4,4,4,4,3,1,3,3,2,3,3,3,3,3,3,4,NA,NA,NA,NA,NA,NA,-0.4572
1.2294,2.1635,-2.4981,-0.1933,0.3708,2.1017,2.2879,0.9963,NA,NA,2.0781,1.0875,1.4475,2.4994,2.0469,225,25,406.396,362.352,362.941,433.174,1,1,4,4,4,4,1,1,2,1,2,2,2,1,4,4,2,4,2,2,4,1,4,4,4,4,NA,NA,NA,NA,NA,NA,0.5235
0.3155,-0.8208,-2.4981,-0.1933,-0.7778,0.0333,-0.2882,-0.2342,NA,NA,-0.6102,-2.4245,-1.5846,-1.5255,-1.9656,200,35,508.619,506.303,466.437,481.798,3,4,1,1,1,1,4,4,4,4,4,4,4,3,1,1,1,3,3,3,2,4,3,4,2,3,NA,NA,NA,NA,NA,NA,-2.4162
-0.0078,1.1074,1.1191,-0.1933,0.8155,0.3895,-0.3244,0.442,NA,NA,-0.8682,-3.3405,-2.7195,-1.5255,-1.9656,NA,NA,534.803,519.94,528.863,540.046,4,4,1,1,1,1,4,4,4,4,4,4,4,4,1,1,1,4,1,2,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,-2.4162
-0.0717,-0.8208,-0.3856,0.5975,0.7648,-1.2265,-1.07,-0.6808,NA,NA,0.2483,-0.086,-0.2814,0.0583,0.3878,225,6,447.001,389.806,418.663,431.854,4,2,2,1,1,3,4,3,4,2,1,3,3,2,3,2,3,1,2,2,4,4,4,3,4,4,NA,NA,NA,NA,NA,NA,-0.3506
0.1403,0.5094,-0.2112,0.5824,-1.9301,0.4713,0.4252,-0.3742,NA,NA,0.0615,-0.4173,-0.0576,0.0134,0.687,225,6,573.858,506.744,550.004,543.2,1,2,2,2,2,2,4,3,4,2,2,4,2,3,4,3,3,3,4,4,2,4,3,3,2,3,NA,NA,NA,NA,NA,NA,0.8934
